Date of death,Days til death,Coral ID,Coral species,Treatment,Snail,Colony ID,Tank,Weight,Cap weight,Starting weight,Net change,Survived
26-May,3,V-1 H D,Pocillopora,Heated,Drupella,Poc-1,Tank 6,25.6,16.8,26.5,-9.278350515,0
27-May,4,V-2 H D,Pocillopora,Heated,Drupella,Poc-2,Tank 6,30.2,14.2,31.2,-5.882352941,0
27-May,4,V-3 H D,Pocillopora,Heated,Drupella,Poc-3,Tank 6,18.6,14.8,19.1,-11.62790698,0
27-May,4,V-4 H D,Pocillopora,Heated,Drupella,Poc-4,Tank 6,25.8,14.6,26.4,-5.084745763,0
27-May,4,V-7 H D,Pocillopora,Heated,Drupella,Poc-7,Tank 7,37.9,19.3,38.8,-4.615384615,0
29-May,6,V-9 H D,Pocillopora,Heated,Drupella,Poc-9,Tank 7,33.4,17.4,34.2,-4.761904762,0
31-May,8,V-10 H D,Pocillopora,Heated,Drupella,Poc-10,Tank 7,41,12.5,41.9,-3.06122449,0
28-May,5,V-11 H D,Pocillopora,Heated,Drupella,Poc-11,Tank 11,25.9,17.3,26.8,-9.473684211,0
27-May,4,V-12 H D,Pocillopora,Heated,Drupella,Poc-12,Tank 11,20.2,11.9,20.8,-6.741573034,0
27-May,4,V-13 H D,Pocillopora,Heated,Drupella,Poc-13,Tank 11,28.4,14.3,29.5,-7.236842105,0
27-May,4,V-14 H D,Pocillopora,Heated,Drupella,Poc-14,Tank 11,30.7,16.4,32.3,-10.06289308,0
28-May,5,V-15 H D,Pocillopora,Heated,Drupella,Poc-15,Tank 11,20.7,8.1,21.6,-6.666666667,0
,,V-1 A D,Pocillopora,Ambient,Drupella,Poc-1,Tank 8,24.6,13.8,25.5,-7.692307692,1
29-May,6,V-2 A D,Pocillopora,Ambient,Drupella,Poc-2,Tank 8,32.7,10.7,34.3,-6.779661017,0
28-May,5,V-3 A D,Pocillopora,Ambient,Drupella,Poc-3,Tank 8,24.4,16.9,25.3,-10.71428571,0
28-May,5,V-4 A D,Pocillopora,Ambient,Drupella,Poc-4,Tank 8,27.3,16.1,27.8,-4.273504274,0
27-May,4,V-7 A D,Pocillopora,Ambient,Drupella,Poc-7,Tank 2,34.8,20,35.9,-6.918238994,0
29-May,6,V-9 A D,Pocillopora,Ambient,Drupella,Poc-9,Tank 2,30.3,17.5,31.2,-6.569343066,0
27-May,4,V-10 A D,Pocillopora,Ambient,Drupella,Poc-10,Tank 2,31.9,16.6,33,-6.707317073,0
29-May,6,V-11 A D,Pocillopora,Ambient,Drupella,Poc-11,Tank 10,20.2,9.3,21.3,-9.166666667,0
29-May,6,V-12 A D,Pocillopora,Ambient,Drupella,Poc-12,Tank 10,29.4,14.9,30.4,-6.451612903,0
31-May,8,V-13 A D,Pocillopora,Ambient,Drupella,Poc-13,Tank 10,36,10.3,38,-7.220216606,0
28-May,5,V-14 A D,Pocillopora,Ambient,Drupella,Poc-14,Tank 10,24,12.9,24.9,-7.5,0
27-May,4,V-15 A D,Pocillopora,Ambient,Drupella,Poc-15,Tank 10,21.9,8.4,22.7,-5.594405594,0
,,R-1 H D,Porites,Heated,Drupella,Rus-1,Tank 6,30.5,15.8,30,3.521126761,1
28-May,5,R-2 H D,Porites,Heated,Drupella,Rus-2,Tank 6,21.9,14.9,22.8,-11.39240506,0
,,R-3 H D,Porites,Heated,Drupella,Rus-3,Tank 6,17.7,8.7,17.4,3.448275862,1
,,R-4 H D,Porites,Heated,Drupella,Rus-4,Tank 6,27.2,16.5,26,12.63157895,1
,,R-5 H D,Porites,Heated,Drupella,Rus-5,Tank 6,23.9,14.2,23.7,2.105263158,1
,,R-6 H D,Porites,Heated,Drupella,Rus-6,Tank 7,28.9,12.3,28.6,1.840490798,1
,,R-7 H D,Porites,Heated,Drupella,Rus-7,Tank 7,33.2,10,32.1,4.977375566,1
,,R-8 H D,Porites,Heated,Drupella,Rus-8,Tank 7,21,12.5,20.8,2.409638554,1
6-Jun,,R-9 H D,Porites,Heated,Drupella,Rus-9,Tank 7,17.8,10.6,17.6,2.857142857,1
,,R-10 H D,Porites,Heated,Drupella,Rus-10,Tank 7,15.8,11.3,15.5,7.142857143,1
,,R-11 H D,Porites,Heated,Drupella,Rus-11,Tank 11,23.4,15.6,22.9,6.849315068,1
