Coral ID,Height,Al_weight,Area,Weighboat,Dry_weight,Tissue_weight
R-1 A C,3.3,0.1216,43.2972,0.1606,0.2611,0.1005
R-1 A D,3.2,0.1059,37.7708,0.2346,0.3806,0.146
R-1 A V,3.8,0.1347,47.9084,0.1397,0.2682,0.1285
R-1 H C,4.1,0.0691,24.8172,0.2131,0.2907,0.0776
R-1 H D,3.8,0.2193,77.6876,0.1628,0.3535,0.1907
R-1 H V,2.9,0.1202,42.8044,0.1193,0.2341,0.1148
R-10 A C,3.6,0.0529,19.1148,0.173,0.274,0.101
R-10 A D,3.7,0.1693,60.0876,0.1561,0.2985,0.1424
R-10 A V,3.1,0.056,20.206,0.1696,0.2171,0.0475
R-10 H C,3.6,0.1096,39.0732,0.1669,0.2703,0.1034
R-10 H V,3.7,0.0965,34.462,0.1236,0.154,0.0304
R-10 H D,3,0.124,44.142,0.2419,0.3074,0.0655
R-11 A C,2.9,0.0892,31.8924,0.1503,0.3419,0.1916
R-11 A D,2.6,0.1322,47.0284,0.2275,0.3207,0.0932
R-11 A V,3.4,0.1003,35.7996,0.3585,0.5009,0.1424
R-11 H C,3.7,0.0927,33.1244,0.1714,0.2566,0.0852
R-11 H D,2.5,0.1354,48.1548,0.1506,0.2505,0.0999
R-11 H V,4.1,0.1109,39.5308,0.1374,0.3067,0.1693
R-12 A C,3.2,0.1935,68.606,0.136,0.2342,0.0982
R-12 A D,3,0.0603,21.7196,0.1258,0.1378,0.012
R-12 A V,2.8,0.1212,43.1564,0.3314,0.4791,0.1477
R-12 H C,3,0.111,39.566,0.294,0.4153,0.1213
R-12 H D,3,0.0934,33.3708,0.1805,0.2279,0.0474
R-2 H V,,0.1114,39.7068,,,0
R-13 A C,3.1,0.0711,25.5212,0.2122,0.3163,0.1041
R-13 A D,3.6,0.1229,43.7548,0.3306,0.4619,0.1313
R-13 A V,2.8,0.1605,56.99,0.2367,0.4537,0.217
R-13 H C,3.6,0.0945,33.758,0.1818,0.2935,0.1117
R-13 H D,,0.0608,21.8956,,,0
R-13 H V,1.8,0.1071,38.1932,0.1641,0.1743,0.0102
R-14 A C,3.9,0.2908,102.8556,0.1494,0.5145,0.3651
R-14 A D,3.1,0.1723,61.1436,0.3294,0.5445,0.2151
R-14 A V,3.1,0.1543,54.8076,0.3428,0.4701,0.1273
R-14 H C,3.4,0.0773,27.7036,0.2947,0.3656,0.0709
R-14 H D,3.7,0.1395,49.598,0.1796,0.2822,0.1026
R-14 H V,3.8,0.1484,52.7308,0.2095,0.3236,0.1141
R-15 A C,3.9,0.2038,72.2316,0.2899,0.5482,0.2583
R-15 A D,3.6,0.0907,32.4204,0.1815,0.4105,0.229
R-15 A V,3.6,0.0828,29.6396,0.3412,0.5302,0.189
R-15 H C,2.7,0.0669,24.0428,0.1615,0.2361,0.0746
R-15 H D,,0.0493,17.8476,,,0
R-15 H V,2.4,0.0606,21.8252,0.1845,0.2046,0.0201
R-2 A C,2.5,0.1626,57.7292,0.2837,0.4617,0.178
R-2 A D,2.4,0.0422,15.3484,0.1301,0.1392,0.0091
R-2 A V,2.7,0.1125,40.094,0.1444,0.2846,0.1402
R-2 H C,3.9,0.0888,31.7516,0.2492,0.2656,0.0164
R-2 H D,,0.0996,35.5532,,,0
R-12 H V,2.9,0.1374,48.8588,0.2213,0.3008,0.0795
R-3 A C,2.8,0.0799,28.6188,0.2095,0.2869,0.0774
R-3 A D,3.1,0.0647,23.2684,0.1489,0.1667,0.0178
R-3 A V,3.4,0.1569,55.7228,0.1112,0.2096,0.0984
R-3 H C,3.1,0.1818,64.4876,0.2172,0.3631,0.1459
R-3 H D,2.7,0.1131,40.3052,0.1807,0.3058,0.1251
R-3 H V,2,0.0675,24.254,0.1791,0.2072,0.0281
R-4 A C,3.6,0.0991,35.3772,0.2537,0.4007,0.147
R-4 A D,3.7,0.1272,45.2684,0.1307,0.2668,0.1361
R-4 A V,2.8,0.0941,33.6172,0.1669,0.3096,0.1427
R-4 H C,2.6,0.1896,67.2332,0.1732,0.3689,0.1957
R-4 H D,3.2,0.1182,42.1004,0.1947,0.3363,0.1416
R-4 H V,5.9,0.1894,67.1628,0.1767,0.4171,0.2404
R-5 A C,2.9,0.0832,29.7804,0.1906,0.3055,0.1149
R-5 A D,3.1,0.1187,42.2764,0.1749,0.3138,0.1389
R-5 A V,3.9,0.1406,49.9852,0.1744,0.3719,0.1975
R-5 H C,4.4,0.2267,80.2924,0.1701,0.3299,0.1598
R-5 H D,2.1,0.1418,50.4076,0.2242,0.2383,0.0141
R-5 H V,3.5,0.1985,70.366,0.1643,0.233,0.0687
R-6 A C,3.3,0.117,41.678,0.1543,0.2966,0.1423
R-6 A D,2.8,0.0931,33.2652,0.2955,0.4237,0.1282
R-6 A V,3.6,0.0978,34.9196,0.1592,0.3227,0.1635
R-6 H C,3.1,0.0727,26.0844,0.2284,0.3269,0.0985
R-6 H D,3.8,0.1317,46.8524,0.24,0.2716,0.0316
R-6 H V,3.4,0.1107,39.4604,0.2376,0.3388,0.1012
R-7 A C,2.8,0.1066,38.0172,0.2425,0.4514,0.2089
R-7 A D,2.6,0.1437,51.0764,0.2251,0.3315,0.1064
R-7 A V,3.9,0.0893,31.9276,0.1791,0.3077,0.1286
R-7 H C,2.4,0.1089,38.8268,0.2941,0.4529,0.1588
R-7 H D,4.6,0.2778,98.2796,0.2181,0.4656,0.2475
R-7 H V,5.2,0.1588,56.3916,0.2798,0.5536,0.2738
R-8 A C,2.8,0.1435,51.006,0.1595,0.3837,0.2242
R-8 A D,2.9,0.1557,55.3004,0.1536,0.2872,0.1336
R-8 A V,3.1,0.2139,75.7868,0.1931,0.5625,0.3694
R-8 H C,3.9,0.1186,42.2412,0.1848,0.3293,0.1445
R-8 H D,3.1,0.0991,35.3772,0.1925,0.281,0.0885
R-9 H V,4,0.087,31.118,0.2726,0.3272,0.0546
R-8 H V,4.1,0.1772,62.8684,0.1921,0.2919,0.0998
R-9 A C,3.9,0.1337,47.5564,0.1639,0.3074,0.1435
R-9 A D,3.4,0.0588,21.1916,0.215,0.2516,0.0366
R-9 A V,2.8,0.0522,18.8684,0.2377,0.2893,0.0516
R-9 H C,3.6,0.0958,34.2156,0.1615,0.2393,0.0778
