Date,Tray number,Snail,Porites,Pocillopora,NC
6/2/24,1,Coralliophila,,,1
6/2/24,2,Coralliophila,,,1
6/2/24,3,Coralliophila,1,,
6/2/24,4,Coralliophila,1,,
6/2/24,5,Coralliophila,1,,
6/2/24,6,Coralliophila,1,,
6/2/24,7,Coralliophila,1,,
6/2/24,8,Coralliophila,1,,
6/2/24,9,Coralliophila,1,,
6/2/24,10,Coralliophila,1,,
6/2/24,11,Coralliophila,1,,
6/2/24,12,Coralliophila,1,,
6/2/24,13,Coralliophila,,,1
6/2/24,14,Coralliophila,,,1
6/2/24,15,Coralliophila,,,1
6/2/24,16,Drupella,,,1
6/2/24,17,Drupella,,,1
6/2/24,18,Drupella,1,,
6/2/24,19,Drupella,,1,
6/2/24,20,Drupella,,1,
6/2/24,21,Drupella,,,1
6/2/24,22,Drupella,,1,
6/2/24,23,Drupella,,,1
6/2/24,24,Drupella,,1,
6/2/24,25,Drupella,,1,
6/2/24,26,Drupella,,1,
6/2/24,27,Drupella,,1,
6/2/24,28,Drupella,,1,
6/2/24,29,Drupella,,1,
6/2/24,30,Drupella,,1,
