Date,Coral ID,Feeding,Feeding_binary
25-May,R-1 A D,N,0
26-May,R-1 A D,N,0
27-May,R-1 A D,N,0
28-May,R-1 A D,N,0
29-May,R-1 A D,N,0
30-May,R-1 A D,N,0
31-May,R-1 A D,N,0
1-Jun,R-1 A D,N,0
2-Jun,R-1 A D,N,0
3-Jun,R-1 A D,N,0
4-Jun,R-1 A D,N,0
5-Jun,R-1 A D,N,0
25-May,R-1 H D,N,0
26-May,R-1 H D,N,0
27-May,R-1 H D,N,0
29-May,R-1 H D,N,0
30-May,R-1 H D,N,0
31-May,R-1 H D,N,0
27-May,R-1 H V,N,0
28-May,R-1 H V,N,0
25-May,R-10 A D,N,0
26-May,R-10 A D,N,0
27-May,R-10 A D,N,0
28-May,R-10 A D,N,0
30-May,R-10 A D,N,0
31-May,R-10 A D,N,0
1-Jun,R-10 A D,N,0
2-Jun,R-10 A D,N,0
3-Jun,R-10 A D,N,0
4-Jun,R-10 A D,N,0
5-Jun,R-10 A D,N,0
25-May,R-10 A V,N,0
26-May,R-10 A V,N,0
27-May,R-10 A V,N,0
28-May,R-10 A V,N,0
26-May,R-10 H D,N,0
25-May,R-11 A D,N,0
27-May,R-11 A D,N,0
29-May,R-11 A D,N,0
31-May,R-11 A D,N,0
2-Jun,R-11 A D,N,0
3-Jun,R-11 A D,N,0
4-Jun,R-11 A D,N,0
5-Jun,R-11 A D,N,0
25-May,R-11 H D,N,0
26-May,R-11 H D,N,0
27-May,R-11 H D,N,0
28-May,R-11 H D,N,0
29-May,R-11 H D,N,0
30-May,R-11 H D,N,0
31-May,R-11 H D,N,0
25-May,R-11 H V,N,0
26-May,R-11 H V,N,0
27-May,R-11 H V,N,0
30-May,R-11 H V,N,0
31-May,R-11 H V,N,0
1-Jun,R-11 H V,N,0
2-Jun,R-11 H V,N,0
3-Jun,R-11 H V,N,0
4-Jun,R-11 H V,N,0
5-Jun,R-11 H V,N,0
25-May,R-12 A D,N,0
29-May,R-12 A D,N,0
30-May,R-12 A D,N,0
31-May,R-12 A D,N,0
1-Jun,R-12 A D,N,0
2-Jun,R-12 A D,N,0
3-Jun,R-12 A D,N,0
4-Jun,R-12 A D,N,0
5-Jun,R-12 A D,N,0
25-May,R-12 H D,N,0
29-May,R-12 H D,N,0
31-May,R-12 H D,N,0
25-May,R-13 A D,N,0
26-May,R-13 A D,N,0
27-May,R-13 A D,N,0
28-May,R-13 A D,N,0
29-May,R-13 A D,N,0
30-May,R-13 A D,N,0
1-Jun,R-13 A D,N,0
2-Jun,R-13 A D,N,0
3-Jun,R-13 A D,N,0
4-Jun,R-13 A D,N,0
5-Jun,R-13 A D,N,0
25-May,R-13 H D,N,0
29-May,R-13 H D,N,0
30-May,R-13 H D,N,0
31-May,R-13 H D,N,0
25-May,R-14 A D,N,0
26-May,R-14 A D,N,0
27-May,R-14 A D,N,0
29-May,R-14 A D,N,0
1-Jun,R-14 A D,N,0
2-Jun,R-14 A D,N,0
3-Jun,R-14 A D,N,0
4-Jun,R-14 A D,N,0
5-Jun,R-14 A D,N,0
29-May,R-14 H D,N,0
30-May,R-14 H D,N,0
31-May,R-14 H D,N,0
1-Jun,R-14 H D,N,0
2-Jun,R-14 H D,N,0
3-Jun,R-14 H D,N,0
4-Jun,R-14 H D,N,0
5-Jun,R-14 H D,N,0
25-May,R-14 H V,N,0
25-May,R-15 A D,N,0
26-May,R-15 A D,N,0
27-May,R-15 A D,N,0
29-May,R-15 A D,N,0
30-May,R-15 A D,N,0
31-May,R-15 A D,N,0
1-Jun,R-15 A D,N,0
2-Jun,R-15 A D,N,0
3-Jun,R-15 A D,N,0
4-Jun,R-15 A D,N,0
5-Jun,R-15 A D,N,0
25-May,R-15 H V,N,0
26-May,R-2 A D,N,0
27-May,R-2 A D,N,0
28-May,R-2 A D,N,0
29-May,R-2 A D,N,0
31-May,R-2 A D,N,0
1-Jun,R-2 A D,N,0
2-Jun,R-2 A D,N,0
3-Jun,R-2 A D,N,0
4-Jun,R-2 A D,N,0
5-Jun,R-2 A D,N,0
25-May,R-2 H V,N,0
26-May,R-2 H V,N,0
27-May,R-2 H V,N,0
27-May,R-3 A D,N,0
28-May,R-3 A D,N,0
30-May,R-3 A D,N,0
31-May,R-3 A D,N,0
2-Jun,R-3 A D,N,0
3-Jun,R-3 A D,N,0
4-Jun,R-3 A D,N,0
5-Jun,R-3 A D,N,0
26-May,R-3 H D,N,0
27-May,R-3 H D,N,0
28-May,R-3 H D,N,0
29-May,R-3 H D,N,0
30-May,R-3 H D,N,0
31-May,R-3 H D,N,0
1-Jun,R-3 H D,N,0
2-Jun,R-3 H D,N,0
3-Jun,R-3 H D,N,0
4-Jun,R-3 H D,N,0
5-Jun,R-3 H D,N,0
25-May,R-4 A D,N,0
26-May,R-4 A D,N,0
27-May,R-4 A D,N,0
28-May,R-4 A D,N,0
29-May,R-4 A D,N,0
30-May,R-4 A D,N,0
31-May,R-4 A D,N,0
1-Jun,R-4 A D,N,0
2-Jun,R-4 A D,N,0
3-Jun,R-4 A D,N,0
4-Jun,R-4 A D,N,0
5-Jun,R-4 A D,N,0
25-May,R-4 H D,N,0
26-May,R-4 H D,N,0
27-May,R-4 H D,N,0
28-May,R-4 H D,N,0
29-May,R-4 H D,N,0
31-May,R-4 H D,N,0
1-Jun,R-4 H D,N,0
2-Jun,R-4 H D,N,0
3-Jun,R-4 H D,N,0
4-Jun,R-4 H D,N,0
5-Jun,R-4 H D,N,0
25-May,R-5 A D,N,0
26-May,R-5 A D,N,0
27-May,R-5 A D,N,0
28-May,R-5 A D,N,0
30-May,R-5 A D,N,0
31-May,R-5 A D,N,0
1-Jun,R-5 A D,N,0
2-Jun,R-5 A D,N,0
3-Jun,R-5 A D,N,0
4-Jun,R-5 A D,N,0
5-Jun,R-5 A D,N,0
25-May,R-5 A V,N,0
26-May,R-5 A V,N,0
25-May,R-5 H D,N,0
26-May,R-5 H D,N,0
27-May,R-5 H D,N,0
31-May,R-5 H D,N,0
1-Jun,R-5 H D,N,0
25-May,R-6 A D,N,0
26-May,R-6 A D,N,0
27-May,R-6 A D,N,0
29-May,R-6 A D,N,0
30-May,R-6 A D,N,0
31-May,R-6 A D,N,0
1-Jun,R-6 A D,N,0
2-Jun,R-6 A D,N,0
3-Jun,R-6 A D,N,0
4-Jun,R-6 A D,N,0
5-Jun,R-6 A D,N,0
25-May,R-6 A V,N,0
25-May,R-6 H D,N,0
26-May,R-6 H D,N,0
29-May,R-6 H D,N,0
30-May,R-6 H D,N,0
25-May,R-7 A D,N,0
27-May,R-7 A D,N,0
31-May,R-7 A D,N,0
1-Jun,R-7 A D,N,0
2-Jun,R-7 A D,N,0
3-Jun,R-7 A D,N,0
4-Jun,R-7 A D,N,0
5-Jun,R-7 A D,N,0
25-May,R-7 H D,N,0
26-May,R-7 H D,N,0
27-May,R-7 H D,N,0
30-May,R-7 H D,N,0
31-May,R-7 H D,N,0
1-Jun,R-7 H D,N,0
