Tank,Coral,ID,Date,Tank,Snail,Trial type,Temp,Starting O2 umol L,Volume used,Finish O2,Blank slope,Wet weight,Snail length,Slope,Weighboat,Dry weight,Ash weight,AFDW,Respiration,R2,Notes
Tank 8,,1-v5hv,24-May,8,Coralliophila,Unfed,Ambient,207,245,193.8,-0.1585,4,2.08,-0.254,0.8586,4.5935,4.2106,0.3829,-0.061106033,0.9857,
Tank 8,,1-v6hd,24-May,8,Drupella,Unfed,Ambient,210,248,193.5,-0.1585,3.2,2.4,-0.5726,0.8523,3.6555,3.3173,0.3382,-0.303657008,0.9719,
Tank 8,,2-v5ad,24-May,8,Drupella,Unfed,Ambient,210.1,248,194,-0.1585,1.7,1.95,-0.2615,0.8555,2.2721,2.1675,0.1046,-0.244206501,0.9819,
Tank 8,,2-v8hv,24-May,8,Coralliophila,Unfed,Ambient,204,244,186.5,-0.1585,4.6,2.4,-0.4299,0.8539,4.7797,4.5095,0.2702,-0.245083642,0.9823,
Tank 8,,3-v6av,24-May,8,Coralliophila,Unfed,Ambient,223.7,244,196.8,-0.1585,5.8,2.4,-1.051,0.856,5.6933,5.3111,0.3822,-0.56978022,0.9559,
Tank 8,,3-v8hd,24-May,8,Drupella,Unfed,Ambient,204,248,189.9,-0.1585,3,2.45,-0.4505,0.8573,3.3851,3.1789,0.2062,-0.351193017,0.9839,
Tank 8,,4-v6ad,24-May,8,Drupella,Unfed,Ambient,222,247,198.3,-0.1585,3.8,2.5,-0.9781,0.8562,4.2023,3.998,0.2043,-0.990901615,0.9876,
Tank 8,,4-v6hv,24-May,8,Coralliophila,Unfed,Ambient,200,245,188.1,-0.1585,5.2,2.08,-0.298,0.8422,5.3986,5.1177,0.2809,-0.121671413,0.9753,
Tank 8,,5-v8ad,24-May,8,Drupella,Unfed,Ambient,198.8,242,186.6,-0.1585,2.2,2.2,-0.3337,0.8507,2.774,2.5708,0.2032,-0.208653543,0.9793,
Tank 8,,5-v8av,24-May,8,Coralliophila,Unfed,Ambient,196.5,243,180,-0.1585,7.3,2.65,-0.6576,0.8497,7.4545,6.6348,0.8197,-0.147958155,0.9899,
